region,2022,2021,2020,2019
Beijing,41611,41045.6,35943.3,35445.1
Tianjin,16311.3,15685.1,14008,14055.5
Hebei,42370.4,40397.1,36013.8,34978.6
Shanxi,25642.6,22870.4,17835.6,16961.6
Inner Mongolia,23158.7,21166,17258,17212.5
Liaoning,28975.1,27569.5,25011.4,24855.3
Jilin,13070.2,13163.8,12256,11726.8
Heilongjiang,15901,14858.2,13633.4,13544.4
Shanghai,44652.8,43653.2,38963.3,37987.6
Jiangsu,122875.6,117392.4,102807.7,98656.8
Zhejiang,77715.4,74040.8,64689.1,62462
Anhui,45045,42565.2,38061.5,36845.5
Fujian,53109.9,49566.1,43608.6,42326.6
Jiangxi,32074.7,29827.8,25782,24667.3
Shandong,87435.1,82875.2,72798.2,70540.5
Henan,61345.1,58071.4,54259.4,53717.8
Hubei,53734.9,50091.2,43004.5,45429
Hunan,48670.4,45713.5,41542.6,39894.1
Guangdong,129118.6,124719.5,111151.6,107986.9
Guangxi,26300.9,25209.1,22120.9,21237.1
Hainan,6818.2,6504.1,5566.2,5330.8
Chongqing,29129,28077.3,25041.4,23605.8
Sichuan,56749.8,54088,48501.6,46363.8
Guizhou,20164.6,19458.6,17860.4,16769.3
Yunnan,28954.2,27161.6,24555.7,23223.8
Tibet,2132.6,2080.2,1902.7,1697.8
Shaanxi,32772.7,30121.7,26014.1,25793.2
Gansu,11201.6,10225.5,8979.7,8718.3
Qinghai,3610.1,3385.1,3009.8,2941.1
Ningxia,5069.6,4588.2,3956.3,3748.5
Xinjiang,17741.3,16311.6,13800.7,13597.1